molecule_id	score_a	score_b	paff_a	paff_b	score_delta_b_minus_a	pAffinity_delta_b_minus_a
CHEMBL1173655	0.97151184	0.97183776	8.15051499783199	6.673664139071248	0.00032591999999997956	-1.4768508587607423
CHEMBL1229592	0.62925774	0.6291487	8.739928612014925	5.687928594786827	-0.00010904000000000469	-3.0520000172280977
CHEMBL168	0.0	0.0	4.698970004336019	4.698970004336019	0.0	0.0
CHEMBL2179128	0.68817484	0.68740857	5.838631997765025	5.844663962534939	-0.0007662699999999578	0.006031964769913856
CHEMBL24828	0.08493739	0.08260395	6.432738307646126	6.432855970743533	-0.002333440000000006	0.0001176630974066839
CHEMBL321494	0.5435827	0.54369956	6.886056647693163	6.826813731587726	0.00011685999999999641	-0.05924291610543708
CHEMBL3353410	0.7255952	0.7243311	8.602059991327963	6.590970231895007	-0.0012640999999999902	-2.0110897594329558
CHEMBL3545154	0.89433944	0.8945874	8.657577319177793	6.705533773838407	0.00024796000000004703	-1.9520435453393867
CHEMBL3545311	0.4656785	0.4648621	7.764471553092451	8.0	-0.0008163999999999949	0.2355284469075487
CHEMBL388978	0.1919863	0.19230534	8.920818753952375	9.537602002101044	0.00031903999999999266	0.6167832481486695
CHEMBL4060003	0.7001825	0.70213604	9.0	7.275724130399211	0.0019535399999999203	-1.7242758696007892
CHEMBL4061829	0.4309367	0.42995906	7.903089986991944	8.11690664142431	-0.0009776400000000018	0.21381665443236564
CHEMBL4071368	0.67677397	0.6788868	9.0	7.958607314841775	0.0021128300000000655	-1.0413926851582254
CHEMBL4082764	0.5126065	0.5101538	6.795880017344075	6.4736607226101555	-0.0024526999999999743	-0.3222192947339195
CHEMBL4088971	0.5357719	0.5341353	6.049148541111453	6.0254883072626715	-0.001636599999999988	-0.023660233848781687
CHEMBL4089892	0.38915914	0.38669	8.0762380391713	8.054039296422431	-0.0024691400000000363	-0.022198742748868128
CHEMBL4090582	0.8079915	0.807371	6.434152181326482	6.438898616350944	-0.0006205000000000238	0.004746435024461704
CHEMBL4090601	0.4301123	0.42831737	9.0	7.055517327849832	-0.001794930000000028	-1.9444826721501682
CHEMBL4090686	0.08143954	0.081299625	9.0	8.154901959985743	-0.00013991500000000434	-0.8450980400142569
CHEMBL4094927	0.0029265066	0.002131554	8.301029995663981	6.777283528852417	-0.0007949526	-1.5237464668115646
CHEMBL4094959	0.13839366	0.13712582	8.522878745280337	6.076755981369724	-0.0012678399999999923	-2.446122763910614
CHEMBL4095447	0.08720044	0.0866243	8.698970004336019	5.102372908709558	-0.0005761400000000028	-3.5965970956264606
CHEMBL4097627	0.70013154	0.6980152	6.151195298948196	6.106793246940152	-0.00211634000000005	-0.04440205200804481
CHEMBL4098072	0.68852067	0.6888567	9.0	7.045757490560675	0.0003360300000000427	-1.9542425094393252
CHEMBL4100860	0.821166	0.8211845	9.0	8.096910013008056	1.850000000003238e-05	-0.9030899869919438
CHEMBL4101719	0.39054254	0.38831794	8.1890957193313	7.676749124984193	-0.002224600000000021	-0.5123465943471075
CHEMBL4102577	0.0020127238	0.0014659902	7.031517051446065	6.651695136951839	-0.0005467336	-0.37982191449422587
CHEMBL4125840	0.51265657	0.51133364	6.62324060459512	6.301029995663981	-0.0013229299999999444	-0.3222106089311385
CHEMBL4126810	0.6210886	0.62068915	7.632644078973981	6.234927798897208	-0.0003994499999999679	-1.3977162800767733
CHEMBL4127809	0.59763324	0.59721863	7.576754126063192	6.54515513999149	-0.00041460999999998194	-1.0315989860717023
CHEMBL4127897	0.51265657	0.51133364	6.9730583720409705	6.301029995663981	-0.0013229299999999444	-0.6720283763769892
CHEMBL4129138	0.6210886	0.62068915	6.885389015767827	6.301029995663981	-0.0003994499999999679	-0.5843590201038458
CHEMBL4129209	0.50570536	0.5056624	6.785951320588058	6.301029995663981	-4.29600000000363e-05	-0.4849213249240769
CHEMBL4129287	0.50570536	0.5056624	6.442372511573173	6.301029995663981	-4.29600000000363e-05	-0.14134251590919167
CHEMBL4203016	0.43102425	0.4291241	7.634512015109101	7.823908740944319	-0.0019001499999999893	0.18939672583521805
CHEMBL4206166	0.5015513	0.49946058	7.355561410532162	7.081445469449727	-0.002090720000000046	-0.2741159410824352
CHEMBL4206288	0.6901827	0.6908816	7.274088367704952	7.250263684430939	0.0006988999999999468	-0.02382468327401277
CHEMBL4206716	0.60860395	0.6091682	7.346787486224656	7.638272163982407	0.0005642500000000439	0.2914846777577509
CHEMBL4209019	0.49610198	0.49514008	7.468521082957745	8.142667503568731	-0.0009619000000000155	0.6741464206109864
CHEMBL4212884	0.44135767	0.43969125	7.1830961606243395	7.206209615309182	-0.0016664200000000018	0.02311345468484216
CHEMBL4214567	0.0	0.0	8.522878745280337	7.886056647693163	0.0	-0.6368220975871743
CHEMBL4215076	0.5825038	0.58229357	7.540607512240769	7.552841968657781	-0.00021022999999997793	0.012234456417011152
CHEMBL4215080	0.3389871	0.3391103	7.522878745280337	7.27083521030723	0.00012319999999998998	-0.25204353497310716
CHEMBL4217992	0.61686563	0.6158072	7.238824186844268	7.266802734893431	-0.0010584300000000546	0.027978548049162555
CHEMBL4218431	0.19941851	0.19675821	6.7523880103646565	7.412289034981089	-0.0026603000000000043	0.6599010246164321
CHEMBL4226676	0.22657305	0.22543123	6.982966660701219	6.480172006224281	-0.0011418199999999878	-0.5027946544769382
CHEMBL4228518	0.1097911	0.10938671	6.723538195826756	6.943095148663527	-0.00040439000000000447	0.21955695283677112
CHEMBL4284413	0.027522169	0.027143776	7.619788758288394	5.0	-0.0003783929999999977	-2.6197887582883936
CHEMBL4294743	0.0010628568	0.001048244	7.876136083545139	8.236572006437063	-1.4612800000000058e-05	0.3604359228919245
CHEMBL4297865	0.7670529	0.76786345	8.744727494896694	6.554395796726403	0.0008105499999999655	-2.190331698170291
CHEMBL4437863	0.0	0.0	4.698970004336019	7.522878745280337	0.0	2.8239087409443187
CHEMBL4441037	0.5709367	0.57183003	6.954677021213342	5.301029995663981	0.0008933300000000255	-1.6536470255493612
CHEMBL4443062	0.0020469613	0.0020188182	9.553952698654758	7.568041311521069	-2.814310000000004e-05	-1.9859113871336884
CHEMBL4443483	0.73234457	0.7340419	8.657577319177793	8.657577319177793	0.0016973300000000524	0.0
CHEMBL4452906	0.0	0.0	4.698970004336019	7.698970004336019	0.0	3.0
CHEMBL4454172	3.0235872e-06	0.0	4.698970004336019	4.698970004336019	-3.0235872e-06	0.0
CHEMBL4456487	0.0	0.0	4.698970004336019	4.698970004336019	0.0	0.0
CHEMBL4460981	0.00034455847	0.0	4.698970004336019	4.698970004336019	-0.00034455847	0.0
CHEMBL4470692	0.0	0.0	4.698970004336019	4.698970004336019	0.0	0.0
CHEMBL4520903	0.011110344	0.010957591	6.6020599913279625	7.229147988357855	-0.00015275300000000026	0.6270879970298928
CHEMBL4530686	0.01097332	0.010728752	6.6020599913279625	7.638272163982407	-0.00024456800000000056	1.0362121726544444
CHEMBL4533337	0.15144165	0.15006176	6.6020599913279625	7.721246399047171	-0.0013798900000000225	1.1191864077192086
CHEMBL4537422	0.0	0.0	4.698970004336019	7.397940008672037	0.0	2.698970004336018
CHEMBL4554092	0.0	0.0	4.698970004336019	4.698970004336019	0.0	0.0
CHEMBL4558528	0.010111003	0.010001353	6.698970004336019	7.886056647693163	-0.00010965000000000107	1.1870866433571443
CHEMBL4575583	0.5690588	0.56988037	9.0	5.301029995663981	0.0008215700000000492	-3.6989700043360187
CHEMBL4588786	0.0	0.0	4.698970004336019	8.0	0.0	3.3010299956639813
CHEMBL4639459	0.00080721686	0.0008023626	6.896880746454286	6.3743789185750925	-4.854259999999928e-06	-0.5225018278791937
CHEMBL4640686	0.05492195	0.05510168	6.769295686387431	6.0	0.00017973000000000294	-0.769295686387431
CHEMBL4641096	0.09835435	0.09776288	6.771343041891065	6.194907121657327	-0.0005914699999999967	-0.5764359202337381
CHEMBL4642177	0.29582295	0.2965899	6.681936665037238	6.0	0.000766950000000044	-0.681936665037238
CHEMBL4645434	0.8303436	0.83244836	8.657577319177793	6.0	0.002104760000000039	-2.6575773191777934
CHEMBL4647073	0.17942609	0.18003222	6.847711655616943	6.478600371884625	0.0006061299999999825	-0.3691112837323187
CHEMBL4649261	0.20711479	0.20709927	6.805208242278075	6.66094626429086	-1.5519999999991096e-05	-0.14426197798721496
CHEMBL4650319	0.2879274	0.28771082	7.0	6.438898616350944	-0.00021658000000002176	-0.5611013836490564
CHEMBL4847264	0.75509405	0.757396	8.657577319177793	6.924453038607469	0.002301949999999997	-1.7331242805703244
CHEMBL4850239	0.5019996	0.5035899	8.136677139879543	6.081445469449727	0.0015903000000000445	-2.0552316704298166
CHEMBL486400	0.0	0.0	4.698970004336019	4.698970004336019	0.0	0.0
CHEMBL5095169	0.07290961	0.07266553	9.178273661756904	8.897940008672037	-0.00024407999999999375	-0.2803336530848668
CHEMBL5172251	0.17086795	0.17318451	8.200659450546418	7.661543506395395	0.002316560000000023	-0.5391159441510229
CHEMBL5172338	0.61059916	0.6118771	7.806875401645538	6.904830648568245	0.001277939999999922	-0.902044753077293
CHEMBL5173534	0.14431031	0.14293796	7.120015071222847	6.863279432843593	-0.0013723499999999944	-0.2567356383792534
CHEMBL5174232	0.36040726	0.35799494	6.407823242604133	6.301029995663981	-0.0024123200000000233	-0.10679324694015158
CHEMBL5175316	0.17957291	0.17616268	7.060480747381382	6.301029995663981	-0.003410230000000014	-0.7594507517174005
CHEMBL5176897	0.09352902	0.09486335	8.18045606445813	8.366531544420413	0.0013343299999999947	0.18607547996228213
CHEMBL5177023	0.020300679	0.02002157	8.096910013008056	8.698970004336019	-0.0002791089999999996	0.6020599913279625
CHEMBL5179288	0.03897903	0.03771847	5.481486060122113	6.060739102249396	-0.0012605600000000008	0.5792530421272835
CHEMBL5179495	0.0	0.0	7.129011186239425	6.320844758716646	0.0	-0.8081664275227789
CHEMBL5180778	0.0	0.0	7.787812395596042	8.795880017344075	0.0	1.008067621748033
CHEMBL5180848	0.17726436	0.17489037	6.301029995663981	6.301029995663981	-0.0023739900000000203	0.0
CHEMBL5185772	0.07829855	0.07757322	6.376750709602099	6.301029995663981	-0.0007253299999999963	-0.07572071393811797
CHEMBL5185864	0.11725798	0.119141236	8.568636235841012	8.823908740944319	0.0018832559999999998	0.25527250510330646
CHEMBL5185922	0.16304529	0.16305953	8.657577319177793	7.841637507904751	1.4239999999998698e-05	-0.8159398112730427
CHEMBL5188281	0.16012661	0.16052008	7.744727494896693	6.837734385701978	0.00039347000000000687	-0.9069931091947145
CHEMBL5188618	0.2556599	0.25313675	7.035290537142854	6.301029995663981	-0.002523149999999974	-0.7342605414788723
CHEMBL5189183	0.17739408	0.17588587	6.301029995663981	6.301029995663981	-0.0015082100000000098	0.0
CHEMBL5191292	0.30685928	0.30547157	6.650514997831991	6.301029995663981	-0.0013877099999999865	-0.3494850021680094
